Falsevin,RA_GENDER,RA_MARITALSTATUS,RA_VEH_USE,RA_EXPOSURE_TIME,RA_DISTANCE_DRIVEN,RA_NBTRIP,RA_HOURS_DRIVEN,RA_ACCIDENT_IND
35,1,0,2,1.002739726,7747.8,1565,12520,0
35,1,0,2,0.6602739726,4591.9,962,7696,0
36,2,1,2,1,6330.6,1093,13116,0
36,2,0,2,0.802739726,14522.5,961,20181,0
39,2,0,2,0.5424657534,4804.5,649,7788,0
39,2,0,2,0.501369863,7888.9,704,9152,0
39,2,0,2,0.501369863,1107.8,157,2355,2
39,2,0,2,0.501369863,4633.2,496,6448,0
40,2,1,2,0.9808219178,18995.7,3061,45915,1
40,2,1,2,1.002739726,23469.1,2868,45888,0
42,2,0,1,0.4219178082,8717,856,11128,0
42,2,0,1,0.6054794521,10297.7,1040,14560,0
43,2,0,2,1.002739726,8915.8,1982,23784,0
43,2,0,2,0.7561643836,6558.4,1455,17460,0
43,2,0,2,0.3287671233,2717,753,8283,0
45,2,1,2,1.0273972603,13380.1,1336,16032,0
45,2,1,2,0.5780821918,8301.8,782,10166,0
47,1,0,1,0.504109589,9703.9,1049,12588,0
47,1,0,1,0.501369863,11037.3,965,12545,0
48,2,1,1,0.4712328767,2282,638,6380,0
48,2,1,1,0.3095890411,3631,805,8855,0
53,2,1,1,0.4547945205,3200,615,6765,0
53,2,1,1,0.495890411,4822.5,723,7953,0
54,2,0,1,0.9123287671,8485,1424,15664,0
54,2,0,1,0.9589041096,9367.2,1496,16456,0
56,2,0,1,0.9698630137,21339,1362,25878,0
56,2,0,1,0.3287671233,6325.9,462,8316,0
58,1,0,2,0.7479452055,23465.8,2334,39678,0
58,2,0,2,1.0328767123,25944.1,3223,51568,0
59,2,0,1,1,15179.1,2029,22319,0
59,2,0,1,0.9123287671,17457.9,1993,25909,0
61,2,1,1,0.3068493151,7648.9,447,10281,0
61,2,1,1,0.4136986301,7319.4,538,9684,0
61,2,1,1,1.002739726,21423.8,1460,27740,0
64,2,0,1,0.9671232877,8291.1,906,11778,0
64,2,0,1,0.501369863,4454.4,339,5085,0
66,1,1,1,0.6630136986,18966.8,966,19320,0
66,1,1,1,0.8931506849,21569.8,1487,26766,0
68,1,1,2,0.4438356164,3982,139,3614,0
68,2,1,2,0.3232876712,4382.7,185,4440,0
69,1,0,1,0.6630136986,11037.3,1311,17043,0
69,1,0,1,0.501369863,9149.3,861,12915,0
70,1,1,2,0.5178082192,3984,808,10504,0
70,1,1,2,0.4191780822,4347.4,742,8904,0
70,1,1,2,0.498630137,1598,571,5710,0
70,1,1,2,0.504109589,2124.3,656,6560,0
71,2,0,2,0.3315068493,6792.1,500,8000,0
71,2,0,2,0.8383561644,11823.4,1134,15876,0
71,2,0,2,0.3287671233,7722.9,582,9894,0
72,1,1,1,1,19452.3,2809,28090,0
72,1,1,1,1.002739726,20474,2660,26600,0
73,2,0,1,0.5643835616,13886.9,1174,17610,0
73,3,0,1,0.4136986301,9147.8,753,12048,0
74,1,0,1,1,10987.5,1197,15561,0
74,1,0,1,0.9123287671,10787.1,1092,13104,0
76,1,1,1,0.9123287671,14824.1,1187,17805,0
76,1,1,1,1,15712.9,1145,17175,0
77,1,0,1,0.4082191781,3430.2,446,4014,1
77,1,0,1,1.002739726,9542.3,1356,10848,0
78,2,1,1,0.495890411,10595.2,1341,13410,0
78,2,1,1,0.501369863,8172.8,1200,10800,0
81,1,1,2,0.4739726027,4077.1,691,6910,0
81,1,1,2,1.002739726,11346.4,1669,18359,0
82,1,0,1,0.397260274,2813.1,600,4800,1
82,1,0,1,1.002739726,8469.7,1669,15021,1
83,2,0,1,1.0136986301,23568.4,2214,30996,0
83,2,0,1,0.4356164384,10951.7,975,14625,0
84,1,1,2,0.3150684932,2483.3,377,4147,0
84,1,1,2,0.3287671233,4544.5,479,6706,0
85,1,0,2,0.3945205479,5027.6,554,7202,0
85,1,0,2,0.5808219178,7033.5,816,10608,0
86,2,0,1,0.4136986301,2337.4,345,2415,0
86,2,0,1,0.7150684932,7283.2,893,8037,0
86,2,0,1,1.002739726,7689.6,939,8451,0
87,1,1,2,0.5123287671,3146.7,1279,7674,0
87,1,1,2,0.3287671233,1995,787,4722,0
87,1,1,2,1.002739726,5709.1,2243,13458,1
88,1,1,1,1.002739726,8577.2,1148,11480,0
88,1,1,1,0.4136986301,3943.9,495,4950,0
90,1,0,1,1,22643.4,2133,27729,0
90,1,0,1,0.495890411,11450.6,1032,14448,0
91,2,0,1,0.2876712329,13767.7,584,13432,0
91,2,0,1,1.002739726,45038,2243,51589,0
91,2,0,1,1,34537.9,1561,39025,0
92,1,1,1,0.504109589,4464.1,1206,13266,0
92,1,1,1,0.501369863,4790.1,1174,10566,0
93,2,1,2,1.002739726,8793.6,991,9910,0
93,2,1,2,0.6219178082,4498.5,518,5180,0
93,2,1,2,0.3287671233,3265.3,360,3600,0
94,2,0,1,0.4794520548,15662,798,15162,0
94,2,0,1,0.495890411,17002.1,929,16722,0
94,2,0,1,0.501369863,15636.6,730,14600,1
95,1,1,2,0.4794520548,11116.2,674,11458,0
95,1,1,2,0.3534246575,6611.2,276,6624,0
96,2,0,1,0.3561643836,11339.5,667,11339,0
96,2,0,1,0.3315068493,12957.4,776,12416,0
97,1,1,2,0.9780821918,16372.5,1882,26348,0
97,1,1,2,0.3287671233,5315.9,650,8450,0
98,2,1,1,0.5863013699,4209.8,641,5769,0
98,2,1,1,0.7616438356,7871.7,872,11336,0
100,1,0,1,0.9452054795,4808.4,1131,15834,0
100,1,0,1,0.4191780822,1654.8,458,5496,0
106,1,1,2,0.4767123288,4882.9,868,12152,0
106,1,1,2,0.5808219178,6209.8,1601,14409,0
107,3,0,2,0.4109589041,3002.6,300,5100,0
107,2,0,2,0.4849315068,7195.8,555,11655,0
115,2,1,2,0.4657534247,1913.9,218,2616,0
115,2,1,2,0.3369863014,1006,123,1353,0
115,2,1,2,0.4410958904,1581.2,184,2208,0
116,1,1,1,0.9589041096,8480.8,1197,15561,0
116,1,1,1,0.7123287671,4861.4,556,8340,0
117,1,0,2,1.002739726,10793.4,887,16853,1
117,1,0,2,0.4356164384,3283.6,431,4310,0
120,1,1,1,0.3561643836,12277.8,1112,16680,0
120,1,1,1,1.002739726,36898.5,3129,43806,0
121,1,0,1,0.4465753425,7899.1,1115,12265,0
121,1,0,1,0.498630137,7281.9,830,10790,0
123,1,1,1,1.002739726,11495.8,1356,18984,0
123,1,1,1,0.495890411,4842.5,594,8316,0
124,1,0,2,0.5753424658,5702.8,988,10868,0
124,1,1,1,0.3397260274,2234.2,583,5247,0
124,1,1,2,1,13835.9,1769,21228,0
125,2,1,1,1.0356164384,29777.9,1347,28287,1
125,2,1,1,0.7287671233,27626.1,1516,30320,1
127,2,0,1,1.002739726,19510.2,1304,19560,0
127,2,0,1,0.8876712329,17481.6,1062,16992,0
127,1,0,1,0.3287671233,6648.3,496,6448,0
128,1,1,2,0.5561643836,6228.5,1128,16920,0
128,1,1,2,0.4219178082,4151.1,922,14752,0
129,2,0,1,0.4876712329,4950.3,432,5616,0
129,2,0,1,1.002739726,11046.5,1982,17838,0
130,1,0,1,0.5726027397,6716.8,626,8138,0
130,1,0,1,0.501369863,5071.9,600,7200,0
131,1,0,2,0.504109589,2791,1128,5640,0
131,1,0,2,0.498630137,3037.2,1090,5450,0
132,1,1,1,0.4136986301,8990.9,947,10417,0
132,1,1,1,0.9863013699,20459.8,1898,24674,0
134,2,0,1,0.402739726,4960.3,733,6597,0
134,2,0,1,0.5095890411,6652.4,848,8480,0
137,1,0,1,1,18774.9,1249,19984,0
137,1,0,1,0.9123287671,17391.1,1187,18992,0
146,1,1,1,0.797260274,15097.3,1161,20898,0
146,1,1,1,0.5369863014,13377.3,978,17604,0
147,2,0,1,0.3589041096,12239.1,523,11506,0
147,2,0,1,0.501369863,18376.5,730,16060,0
149,1,1,1,1.0082191781,11404.2,1993,29895,0
149,1,1,1,0.5808219178,7730.9,1269,17766,0
151,1,0,2,1.002739726,11320.3,2243,22430,0
151,1,0,2,0.8301369863,6443.9,1252,12520,0
153,1,1,2,0.9068493151,18445.9,2547,33111,0
153,1,1,2,0.8273972603,16570.9,2410,31330,0
154,2,0,2,0.9315068493,10475.1,1696,23744,0
154,2,0,2,0.5808219178,8585.1,1269,20304,0
161,1,1,1,0.6410958904,13800.6,1401,19614,0
161,2,1,1,0.3287671233,4394.6,548,6576,0
162,2,0,1,0.4493150685,9024.1,374,8602,0
162,2,0,1,0.4602739726,8708.4,431,8189,0
164,2,0,1,0.3287671233,5659.2,701,11216,0
164,1,0,1,1,13951.6,1925,26950,0
164,1,0,1,1.002739726,12249.7,1669,25035,0
168,1,1,2,0.3287671233,4467.8,513,6156,0
168,1,1,2,1,9230.7,1561,15610,0
168,1,1,2,0.3178082192,4850,678,6780,0
168,1,1,2,1.002739726,11141.8,1773,17730,0
169,1,0,2,0.5068493151,1717.8,501,3006,0
169,3,0,2,0.4739726027,2591.6,617,4319,0
170,1,1,1,1.002739726,7944.7,1825,16425,0
170,1,1,1,0.3287671233,3449.6,770,6160,0
172,2,1,2,0.498630137,2202,597,5373,0
172,1,0,2,0.504109589,3864.8,682,7502,0
172,2,1,2,0.495890411,2892.1,645,5160,0
172,1,0,2,0.495890411,5112,877,9647,0
173,1,0,2,0.9452054795,21940.7,1917,24921,0
173,1,0,2,0.9095890411,29990.5,2555,35770,0
174,2,1,1,1.0082191781,17057.7,1888,22656,0
174,2,1,1,0.3287671233,4885.5,616,6160,0
175,1,0,2,0.501369863,10657.4,783,10962,0
175,1,0,2,0.4054794521,7144.7,844,9284,0
176,2,0,1,0.4356164384,13756,839,13424,0
176,2,0,1,0.5205479452,18255.9,1327,18578,0
178,1,1,2,0.5315068493,1854.8,305,3660,1
178,1,1,2,0.9342465753,3131.2,535,6420,0
179,1,1,1,0.8904109589,26031.8,2779,41685,0
179,1,1,1,0.3287671233,10988.7,1026,16416,0
180,1,1,1,1.0054794521,13521.5,1726,22438,0
180,1,1,1,0.6630136986,8535.1,1000,13000,0
181,2,0,1,0.3287671233,7178.1,411,6576,0
181,2,0,1,1.002739726,19166.6,1408,21120,0
181,2,0,1,1,25558.1,1353,25707,0
182,1,0,1,0.6273972603,13531.8,1142,17130,0
182,1,0,1,0.3287671233,5572.6,616,6776,0
183,2,1,1,0.4849315068,6784.2,530,7950,0
183,2,1,1,0.501369863,5759.1,470,7050,0
183,2,1,1,0.4191780822,4512.1,262,4716,0
184,1,1,1,1.002739726,16521.1,1721,24094,0
184,1,1,1,0.6547945205,7804.8,1362,14982,0
186,2,0,1,0.3945205479,3269.8,226,4294,0
186,2,0,1,0.498630137,1763.1,208,3120,0
186,2,0,1,0.504109589,6877,367,7707,0
187,1,1,2,0.9369863014,13569.9,1072,17152,0
187,1,1,2,1.002739726,18633.7,1356,21696,0
188,1,0,1,0.4712328767,4998.7,589,8835,0
188,1,0,1,0.3287671233,4078.9,462,6930,0
189,1,1,1,0.4301369863,5644.4,739,7390,0
189,1,1,1,1.002739726,10912.1,1565,14085,0
190,1,0,1,0.9123287671,12113.5,2467,19736,0
190,1,0,1,0.9835616438,13713.5,2558,20464,0
193,2,0,1,0.7616438356,20079.8,1585,30115,0
193,2,0,1,1.002739726,28794.1,2190,45990,0
195,2,0,1,0.9123287671,3200.3,712,9968,0
195,2,0,1,1.0246575342,4136,853,12795,0
196,1,1,2,0.495890411,10234.9,1548,20124,0
196,1,1,2,1.002739726,19453.1,3129,40677,0
196,1,1,2,0.8547945205,14138.6,2667,32004,0
198,1,1,2,1.0136986301,10321.4,1055,15825,0
198,1,0,1,1.002739726,33963.2,1773,39006,0
199,1,1,1,0.9643835616,4318.4,1354,12186,0
199,1,1,1,1.002739726,7474.8,1878,16902,0
199,1,1,1,0.4136986301,3528.8,1184,8288,0
200,1,1,2,1.0109589041,10912.9,1578,17358,0
200,1,1,2,0.3150684932,2701.9,459,4590,0
202,1,0,1,1,6373.2,1093,10930,0
202,1,0,1,0.4821917808,3748.1,627,6897,0
202,1,0,1,0.2904109589,2656.7,378,4536,0
204,2,0,2,0.3123287671,3459.9,764,6876,0
204,2,0,2,1.002739726,8021.4,2816,22528,0
206,2,0,1,0.6328767123,1855.7,297,4455,0
206,2,0,1,0.9561643836,6398.4,895,14320,0
207,1,1,1,0.9643835616,27481.6,2959,38467,0
207,1,1,1,0.5315068493,10591.2,1659,16590,0
208,1,0,2,1.002739726,8850.7,1200,12000,0
208,1,0,2,1,16604.3,1769,21228,0
213,1,0,1,0.7726027397,10796.3,1166,16324,0
213,1,0,1,0.6356164384,8300.5,860,12040,0
214,2,1,2,0.3287671233,1795.9,582,3492,0
214,2,1,2,0.3890410959,4804.1,1214,7284,0
215,2,0,2,0.7232876712,4326.1,1430,11440,0
215,2,0,2,1,5348.1,1769,15921,0
215,2,0,2,0.9123287671,4676,1519,13671,0
216,1,0,2,0.7808219178,2529.1,447,5364,0
216,1,1,2,0.997260274,8228.7,1245,17430,0
217,2,1,2,0.4684931507,3054.6,268,4824,0
217,2,1,2,0.5232876712,5221.5,436,6104,0
218,1,1,1,0.9753424658,9775.7,1928,19280,0
218,1,1,2,0.4136986301,4417.5,646,7106,0
220,2,0,0,0.495890411,15225.5,1419,18447,0
220,2,0,0,0.504109589,10581.1,1206,13266,0
220,2,0,0,0.3287671233,12341.6,1026,11286,0
220,2,0,0,0.498630137,9978.4,1375,12375,0
221,2,1,1,0.5232876712,8026.4,626,10016,0
221,2,1,1,0.4136986301,5120.1,603,6633,0
223,2,0,1,0.9808219178,5795.4,868,6944,0
223,2,0,1,0.8301369863,7921.6,346,6574,0
224,2,0,2,1.0082191781,20893.6,1311,24909,0
224,2,1,1,0.4876712329,8129.4,609,9744,0
225,2,0,2,0.3698630137,941.3,404,2020,0
225,2,0,2,0.504109589,1740,630,3780,0
225,2,0,2,0.3315068493,795.6,414,2070,0
225,2,0,2,0.495890411,2534,826,4956,0
226,2,1,2,0.4520547945,1311.1,494,3952,0
226,2,1,1,0.7205479452,6370.5,1462,11696,0
227,2,0,2,1.002739726,5205.6,1095,7665,0
227,2,0,2,1.0164383562,3020.5,846,5922,0
228,1,1,1,1.0493150685,15102.7,2347,25817,0
228,1,1,1,0.3287671233,3360.7,753,6777,0
229,2,0,1,0.7424657534,26913.2,1236,22248,0
229,2,0,1,0.6054794521,12160,630,9450,0
231,1,0,1,0.5863013699,18151.8,854,17934,0
231,1,0,2,1.002739726,9896.9,574,10332,0
231,2,0,2,0.3287671233,3891.5,223,4237,0
232,2,0,2,0.4794520548,636.3,100,1800,0
232,2,0,2,0.501369863,688.8,53,1113,0
235,2,1,2,0.8931506849,6744.9,651,7812,0
235,2,1,2,0.7424657534,5574.3,464,6496,0
236,2,0,1,0.7369863014,11621.1,767,12272,0
236,2,0,1,0.997260274,14162.8,830,14110,0
238,2,1,2,0.304109589,2309.2,459,3213,0
238,2,1,2,0.8328767123,1426.2,390,2340,0
238,2,0,2,1.002739726,2946.3,574,4018,0
239,2,1,2,0.498630137,358.9,182,728,0
239,2,1,2,0.3287671233,297.3,154,1078,0
241,2,0,2,0.3342465753,924.7,348,1392,0
241,2,0,2,0.4136986301,1207.8,323,1615,0
242,1,1,2,0.2931506849,690.3,214,1284,0
242,1,1,2,0.504109589,965.3,236,1888,0
245,2,0,2,0.6602739726,6229.5,1614,12912,0
245,2,0,2,0.701369863,8238.2,1788,17880,0
246,2,0,0,0.3534246575,1602.9,809,4045,0
246,3,0,0,0.495890411,2311.9,1135,5675,0
249,2,1,1,0.3287671233,10113.7,719,11504,0
249,2,1,1,0.4767123288,9190.1,695,10425,0
249,2,1,1,0.498630137,12917.6,1141,17115,0
253,2,0,2,1,3115.6,469,6097,0
253,2,0,2,0.4136986301,1332.1,194,2328,0
254,2,1,1,0.8876712329,8752.7,1570,17270,0
254,2,1,1,0.3917808219,1353.8,286,2574,0
255,1,0,1,0.6164383562,8495.7,738,9594,0
255,1,0,2,0.8356164384,8896.9,826,9912,0
256,2,0,1,1.002739726,23170.3,1408,29568,0
256,2,0,1,0.7479452055,15050.8,973,18487,0
256,2,0,1,0.3424657534,7631,499,10978,0
258,1,0,1,0.9123287671,10714.9,712,14952,0
258,1,0,1,0.6630136986,8793.3,656,12464,0
260,2,0,2,1.0328767123,17780.8,2203,24233,0
260,2,0,2,1.002739726,17192.1,2243,26916,0
261,1,1,1,0.8383561644,15373.2,1396,18148,0
261,1,1,1,1.002739726,14984,1460,17520,0
261,1,1,1,0.4136986301,4784.6,517,6721,0
262,2,0,2,0.4931506849,5477.2,385,7315,0
262,2,0,2,0.501369863,5919.5,470,7990,0
265,1,1,1,1.002739726,10315.4,1930,17370,0
265,1,1,1,0.495890411,5293.8,877,7893,0
266,1,1,2,0.304109589,3190.1,254,4826,0
266,1,1,2,0.495890411,6032.3,465,9765,0
266,1,1,2,0.4191780822,3596,240,4800,0
266,1,1,2,0.498630137,5676.3,312,7800,0
267,2,0,2,1.0136986301,5354.9,580,5800,0
267,2,0,2,0.8273972603,6659.5,560,6160,0
269,1,1,2,0.3808219178,3840.8,258,3870,0
269,1,1,2,0.9178082192,14181.5,955,16235,0
271,2,0,1,0.9945205479,13517.7,1604,20852,0
271,2,0,1,0.5808219178,8895.8,907,11791,0
273,1,0,2,0.495890411,5260.7,1264,10112,0
273,1,0,2,0.498630137,4278,1323,10584,0
273,1,0,2,0.504109589,5046.6,1285,8995,0
273,1,0,2,0.5260273973,6806.7,1478,11824,0
273,2,0,2,0.4136986301,4096.5,1119,8952,0
276,1,0,2,0.4602739726,8349.8,575,8625,0
276,1,0,2,0.7424657534,13311,966,14490,0
277,1,0,2,0.5287671233,5525.7,633,8229,0
277,1,0,2,0.498630137,5130.6,493,7395,0
277,1,0,2,0.4136986301,3931.9,409,6135,0
280,2,1,1,1.0273972603,3470.9,802,7218,0
280,2,1,1,0.5808219178,6152.2,544,8160,0
283,1,0,2,0.495890411,8061.3,903,12642,0
283,1,0,2,0.504109589,6307.5,944,12272,0
283,1,0,2,0.3123287671,4602.8,407,6919,0
283,1,1,2,0.498630137,5587.5,856,11128,0
283,1,1,2,0.4109589041,4629.6,727,10178,0
284,1,1,2,0.4575342466,6705.5,786,11790,0
284,1,1,2,1,11638.3,1509,19617,0
284,1,1,2,0.8273972603,10140.8,1592,19104,0
286,3,0,1,0.495890411,10377.7,903,10836,0
286,1,0,1,0.7835616438,14208.7,1304,15648,0
287,1,0,1,1.002739726,23598.1,2503,40048,0
287,1,0,1,0.7342465753,14578.1,1719,25785,0
287,1,0,1,0.3287671233,7338,719,12942,0
288,1,0,2,0.504109589,8297.3,1154,12694,0
288,1,0,2,0.495890411,5285.8,903,9933,0
288,1,0,2,0.504109589,6884.7,1285,11565,0
288,1,0,2,0.498630137,4854.5,1245,9960,0
288,1,0,2,0.3616438356,6831.1,677,8801,0
289,1,0,2,0.501369863,1344.6,574,4592,0
289,2,0,2,0.495890411,1506.7,465,5115,0
291,1,1,1,0.4109589041,1581.6,535,3745,0
291,1,1,1,0.498630137,2280.4,649,5192,0
291,1,1,1,0.5808219178,3171.6,725,6525,0
292,2,0,1,0.9452054795,36344.6,1377,31671,0
292,2,0,1,0.7945205479,26939.4,951,23775,0
293,2,0,2,0.5452054795,3746.1,738,6642,0
293,2,0,2,0.501369863,4709,574,6314,0
293,2,0,2,0.501369863,3135.5,522,5220,0
293,2,0,2,0.501369863,3775.4,600,6000,0
294,1,1,2,0.7287671233,3010.2,190,3990,0
294,1,1,2,0.3260273973,1351.5,221,2652,0
296,1,1,2,0.5808219178,7238.5,1299,11691,0
296,1,1,2,1.0301369863,20901,2786,25074,0
297,1,0,1,0.5369863014,4241.2,727,8724,0
297,1,0,1,0.3205479452,3406.1,401,5213,0
299,1,0,1,0.7452054795,6656.6,1628,11396,0
299,1,0,1,0.6630136986,6071.2,1035,7245,0
300,1,0,1,0.504109589,10482,630,11970,0
300,1,0,1,0.4794520548,7514.8,399,8379,0
302,1,1,1,0.9726027397,27178.4,2782,41730,0
302,1,1,1,0.4904109589,15539.9,1403,22448,1
304,1,0,2,0.3698630137,3871.7,847,5929,0
304,2,0,2,0.3287671233,5345.2,872,7848,0
306,1,0,1,0.4739726027,3410.3,666,6660,0
306,1,0,1,0.4136986301,2726.1,560,5600,0
307,2,1,1,1.002739726,34237.5,1669,33380,0
307,2,1,1,0.6520547945,30594.9,1086,28236,0
308,1,1,1,1.002739726,17856.7,1148,19516,0
308,1,1,1,0.4136986301,6839.4,495,8415,0
309,2,0,1,0.9643835616,17812.6,3009,39117,0
309,2,0,1,0.6630136986,10373.6,1828,21936,0
310,1,1,2,0.3205479452,2998.5,401,4010,0
310,1,1,2,0.504109589,2135,603,4221,0
310,1,1,2,0.498630137,3214.8,752,5264,0
310,1,1,2,0.3287671233,1996.8,496,3472,0
311,2,0,1,0.3342465753,9389.2,661,13220,0
311,2,0,1,0.6575342466,16880.4,1197,21546,0
314,2,0,1,1.002739726,8179.2,1930,17370,0
314,2,0,1,0.495890411,4425.6,980,9800,0
315,1,0,1,0.4794520548,5451.3,649,8437,0
315,1,0,1,1.002739726,13599.1,1408,19712,0
316,1,0,1,0.5150684932,8631.7,911,11843,0
316,2,0,1,0.495890411,6374.8,800,9600,0
319,1,0,1,0.5260273973,10090.3,903,10836,0
319,1,0,1,0.498630137,8415.8,727,8724,0
319,1,0,1,0.4136986301,8544.9,624,8112,0
321,1,0,1,0.504109589,9317.4,603,9648,0
321,1,0,1,0.498630137,10819.5,675,11475,0
321,1,0,1,0.4273972603,9644,601,9616,0
322,1,1,1,0.7479452055,8025.1,1012,15180,0
322,1,1,1,1.002739726,14636.8,1460,24820,0
324,2,0,2,0.6273972603,13414.8,947,15152,0
324,2,0,2,0.4136986301,8536.5,646,9690,0
326,1,1,1,0.3534246575,4736.3,680,7480,1
326,2,1,1,0.3287671233,3685.2,565,6215,0
327,2,0,1,1.0328767123,35750,1397,36322,0
327,1,0,1,0.3287671233,11441.8,445,11570,0
329,1,0,2,1.002739726,20961.9,2243,24673,0
329,1,0,2,0.6410958904,14080.6,1401,18213,0
329,1,0,2,0.5808219178,15089.7,1360,16320,0
330,1,1,1,1.002739726,16401.9,2086,25032,0
330,1,1,1,0.4328767123,15473.9,1013,17221,0
336,1,0,2,0.501369863,15821.8,704,14080,0
336,2,0,2,0.495890411,17793.8,671,16104,0
337,1,0,1,0.504109589,6418.7,1049,13637,0
337,1,0,1,0.3150684932,3728.3,672,7392,0
337,1,0,1,0.498630137,4980.9,830,10790,0
338,2,1,2,1.0328767123,25880,1934,50284,0
338,2,1,1,0.3287671233,4881.2,496,11904,0
339,2,0,1,0.9506849315,21820.5,2176,32640,1
339,2,0,1,0.3287671233,6848,530,9010,0
340,2,1,1,0.4273972603,9963,734,12478,0
340,2,1,1,0.501369863,14892.7,913,16434,0
340,2,1,1,0.501369863,12319,809,14562,0
341,2,0,2,0.495890411,1922.7,671,4697,0
341,2,0,2,0.504109589,3379.4,997,7976,0
341,2,0,2,0.498630137,2857.2,856,6848,0
342,1,1,2,0.8712328767,5239,589,8246,0
342,1,1,2,0.5726027397,1907.9,239,3346,0
345,1,0,2,0.501369863,8392.9,835,10020,0
345,1,0,2,0.3671232877,7855.7,707,9191,0
345,1,0,2,0.495890411,12640.4,980,13720,0
347,2,0,2,0.495890411,5494.4,542,5420,0
347,2,0,2,0.6739726027,4826.8,666,5328,0
348,1,0,2,0.4356164384,10635.6,703,9842,0
348,1,0,2,0.498630137,10239.5,752,10528,0
348,2,0,2,0.4136986301,9093.7,753,9789,0
349,2,1,2,0.504109589,15753.2,734,16148,0
349,2,1,2,0.504109589,19338.6,1049,19931,0
349,2,1,2,0.498630137,17250.7,701,16824,0
349,2,1,2,0.4136986301,13303.9,581,12782,0
353,2,1,1,0.6054794521,8988.5,1323,17199,1
353,2,1,1,0.7479452055,10304.8,1478,17736,0
354,1,0,2,0.495890411,1073.1,233,1864,0
354,3,0,2,0.4109589041,516.7,171,1026,0
354,1,0,2,0.504109589,1874.3,289,2601,0
354,1,0,2,0.498630137,1291.6,286,2288,0
355,1,0,1,0.8301369863,7015.2,821,12315,0
355,1,0,1,0.8273972603,5253.5,861,11193,0
356,1,1,1,1.002739726,16006.2,2451,26961,0
356,1,1,1,0.9753424658,11588.3,2283,22830,0
357,2,0,1,0.504109589,11092.6,708,11328,0
357,2,0,1,0.498630137,9960.2,882,13230,0
357,2,0,1,0.3369863014,7238.5,631,8834,0
358,2,1,2,0.4136986301,1265.2,345,2415,0
358,1,1,2,0.4931506849,1432.3,411,2877,1
360,2,1,1,0.4136986301,8175.3,1055,12660,0
360,2,1,1,1.0054794521,15750,2562,25620,0
362,1,0,1,0.8876712329,15585.9,924,18480,0
